	E1	E3	E5	E7	E8	F1	F3	F7	G3	G5	G7	G8	I1	I3	I5	I7	I8	P1	P3	P5	P7	S1	S3	S8
Aqu2.1.00001_001	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Aqu2.1.00002_001	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
Aqu2.1.00003_001	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	6	1	1	0	0
Aqu2.1.00004_001	0	7	7	8	1	5	1	1	1	2	2	0	8	8	10	5	3	11	9	2	2	9	0	5
Aqu2.1.00005_001	0	0	2	6	0	0	1	0	1	3	0	0	1	4	6	0	1	0	5	1	1	0	1	0
Aqu2.1.00006_001	0	2	0	1	0	1	0	0	0	1	0	0	0	9	0	0	1	0	1	0	0	0	0	0
Aqu2.1.00007_001	0	1	0	9	0	0	0	0	0	0	0	4	0	4	1	0	0	0	0	0	1	0	0	0
Aqu2.1.00008_001	0	1	2	4	0	5	0	0	1	0	1	1	0	3	1	0	0	0	4	1	1	1	1	2
Aqu2.1.00009_001	0	7	1	9	1	0	0	0	0	2	0	1	2	0	4	0	1	0	0	2	0	0	0	1
Aqu2.1.00010_001	0	3	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	4	2	1	1
Aqu2.1.00011_001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	11	0	0	0	0
Aqu2.1.00012_001	1	5	2	7	0	1	0	0	0	0	0	1	0	1	3	1	0	0	4	0	1	4	1	5
Aqu2.1.00013_001	1	2	0	4	0	0	0	0	0	1	1	0	0	6	6	0	4	0	9	2	0	1	1	9
Aqu2.1.00014_001	0	0	0	3	0	5	0	0	5	1	0	0	1	3	21	0	0	0	0	2	0	0	0	0
Aqu2.1.00015_001	1	8	1	17	0	12	1	2	142	3	7	7	31	80	299	14	21	3	100	165	4	18	1	2
Aqu2.1.00016_001	0	0	0	6	0	1	0	2	3	0	1	0	0	1	1	1	0	2	6	1	0	4	4	2
Aqu2.1.00017_001	0	0	0	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Aqu2.1.00018_001	1	1	0	7	0	0	0	0	0	2	0	0	2	1	4	2	0	0	1	14	0	2	2	0
Aqu2.1.00019_001	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	3	0	3
Aqu2.1.00020_001	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	1	0	2	0
Aqu2.1.00021_001	1	3	0	7	0	0	2	1	2	1	0	1	3	13	10	0	3	0	15	8	1	0	0	3
Aqu2.1.00022_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Aqu2.1.00023_001	0	0	0	0	1	2	0	1	0	1	0	2	1	1	1	0	0	0	5	1	2	2	0	1
Aqu2.1.00024_001	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0
Aqu2.1.00025_001	0	0	0	9	2	0	0	1	0	1	1	0	0	0	2	0	0	0	2	0	0	2	0	1
Aqu2.1.00026_001	0	1	2	7	0	2	1	0	9	2	0	0	0	8	13	0	1	0	1	1	1	0	0	0
Aqu2.1.00027_001	0	10	0	2	0	0	0	0	1	6	0	0	0	2	5	4	0	0	11	1	0	0	0	1
Aqu2.1.00028_001	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	2
Aqu2.1.00029_001	1	1	1	3	2	6	0	1	62	1	0	8	23	50	58	2	0	0	5	8	9	4	0	2
Aqu2.1.00030_001	15	34	71	63	12	24	11	24	3303	14	22	35	408	217	7742	171	13	222	89	251	23	64	195	32
Aqu2.1.00031_001	0	1	5	12	2	1	0	0	9	0	1	0	1	1	4	8	5	6	14	1	4	16	0	1
Aqu2.1.00032_001	0	1	2	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Aqu2.1.00033_001	0	0	0	6	0	0	0	0	1	0	0	0	0	2	1	1	1	0	3	0	0	0	0	0
Aqu2.1.00034_001	0	1	0	1	0	1	0	0	0	2	0	0	1	4	1	0	0	0	18	0	0	0	0	0
Aqu2.1.00035_001	0	4	4	9	1	0	0	0	0	1	0	0	2	2	8	12	1	0	5	1	1	14	1	3
Aqu2.1.00036_001	0	1	1	4	0	2	0	0	2	0	4	0	0	27	6	2	1	1	7	2	1	4	0	1
Aqu2.1.00037_001	1	0	2	5	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	0	1	0	0
Aqu2.1.00038_001	0	1	0	6	0	1	0	0	1	0	0	0	1	10	2	0	0	0	0	4	1	3	0	0
Aqu2.1.00039_001	0	0	0	10	0	1	0	0	31	3	0	0	5	2	21	0	0	0	7	7	0	2	0	1
Aqu2.1.00040_001	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
Aqu2.1.00041_001	0	8	6	7	1	2	0	0	2	2	1	1	1	4	3	0	1	0	2	0	0	2	2	0
Aqu2.1.00042_001	0	1	0	2	0	1	0	0	0	0	0	7	1	4	2	0	2	0	3	4	0	7	0	1
Aqu2.1.00043_001	1	3	0	10	0	0	3	0	1	0	0	4	0	1	5	0	5	1	4	0	0	2	1	2
Aqu2.1.00044_001	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Aqu2.1.00045_001	0	0	0	1	0	0	0	0	6	0	0	1	0	10	4	0	0	0	3	2	0	2	0	0
Aqu2.1.00046_001	0	0	1	15	0	0	0	0	5	0	0	0	0	0	3	0	1	0	6	1	0	0	0	0
Aqu2.1.00047_001	0	1	0	14	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	1	0	6	1	8
Aqu2.1.00048_001	0	2	1	21	4	12	0	3	2	0	5	2	5	15	8	0	0	1	5	0	2	3	0	2
Aqu2.1.00049_001	100	80	105	139	66	103	71	45	156	236	96	85	113	266	267	1019	74	882	477	268	307	659	307	129
Aqu2.1.00050_001	0	1	2	1	0	3	0	1	0	4	0	0	0	2	5	1	0	16	4	3	1	2	2	3
Aqu2.1.00051_001	4	1	0	13	0	4	0	0	0	0	3	2	5	6	4	0	1	0	4	10	0	3	1	3
Aqu2.1.00052_001	0	2	0	1	0	0	1	0	1	1	0	0	0	8	1	1	0	0	13	1	0	7	0	0
Aqu2.1.00053_001	0	5	2	4	2	0	0	0	5	0	1	0	4	4	6	1	3	0	2	4	1	3	0	0
Aqu2.1.00054_001	0	0	0	3	0	0	1	2	2	0	0	0	1	2	6	0	2	0	8	4	0	1	1	0
Aqu2.1.00055_001	0	1	0	10	1	4	0	0	8	0	0	0	0	4	32	0	1	1	4	1	0	2	0	1
Aqu2.1.00056_001	0	0	1	5	0	3	0	0	0	1	0	0	4	0	1	0	1	0	10	0	0	0	0	0
Aqu2.1.00057_001	0	0	1	5	0	2	2	0	0	0	0	1	1	0	2	0	9	0	2	23	0	2	0	0
Aqu2.1.00058_001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0
Aqu2.1.00059_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	4	0	1
Aqu2.1.00060_001	0	1	3	13	0	0	0	1	1	8	1	0	0	0	3	0	1	1	2	1	1	1	1	1
Aqu2.1.00061_001	0	0	1	1	0	0	1	0	0	0	2	0	0	0	2	0	0	1	1	0	1	1	1	0
Aqu2.1.00062_001	0	3	0	2	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	1	0	0
Aqu2.1.00063_001	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2
Aqu2.1.00064_001	4	1	11	12	1	5	0	1	267	1	0	2	75	7	705	4	1	29	41	57	3	2	13	6
Aqu2.1.00065_001	0	1	3	3	0	0	0	1	1	0	0	0	0	2	8	0	1	1	0	0	1	5	0	0
Aqu2.1.00066_001	0	1	0	2	0	1	0	0	2	0	0	0	1	4	1	0	0	0	6	0	0	1	1	0
Aqu2.1.00067_001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	3	0	0	0	0
Aqu2.1.00068_001	0	4	0	17	1	5	1	1	0	1	1	0	0	5	1	0	2	0	3	2	2	3	2	0
Aqu2.1.00069_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00070_001	0	7	1	1	0	1	0	0	0	1	0	4	0	1	4	0	2	0	6	13	0	0	1	0
Aqu2.1.00071_001	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	3	1	0
Aqu2.1.00072_001	0	1	0	1	2	1	0	0	0	1	2	0	0	0	1	0	1	0	1	0	1	0	2	2
Aqu2.1.00073_001	4	4	4	16	2	8	1	0	9	1	1	1	0	9	21	1	2	0	16	4	0	9	1	0
Aqu2.1.00074_001	0	0	1	3	0	0	0	0	1	1	0	0	1	7	3	0	0	0	2	0	1	1	0	0
Aqu2.1.00075_001	0	32	5	62	1	10	4	0	13	12	11	5	4	30	24	2	26	1	18	5	19	28	3	3
Aqu2.1.00076_001	0	0	0	9	0	0	0	0	1	0	1	1	0	2	4	0	2	2	0	0	0	3	1	3
Aqu2.1.00077_001	0	0	1	3	1	0	0	0	0	0	1	0	7	3	1	1	1	0	1	4	0	0	0	0
Aqu2.1.00078_001	1	2	1	8	0	0	1	0	2	8	0	0	0	2	5	1	4	0	5	0	2	0	1	0
Aqu2.1.00079_001	5	0	0	1	0	2	0	0	0	7	0	0	0	0	5	0	1	0	0	3	1	0	0	0
Aqu2.1.00080_001	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aqu2.1.00081_001	0	3	0	18	0	13	1	0	1	0	0	0	0	16	1	3	0	0	14	5	0	2	10	0
Aqu2.1.00082_001	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00083_001	1	6	0	0	0	1	0	0	3	0	0	0	0	6	1	0	1	0	2	3	0	0	0	0
Aqu2.1.00084_001	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Aqu2.1.00085_001	4	2	1	6	1	7	0	0	0	1	0	4	0	5	8	3	4	7	23	2	3	5	0	6
